imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,row_id,image_path,image_match_source,image_exists
71733,http://www.imdb.com/title/tt71733,"Lacombe, Lucien (1974)",7.8,Drama|Romance|War,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MjE3MTU3OF5BMl5BanBnXkFtZTcwNjk5MDIzMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",10975,cleaned/downloaded_posters/71733.jpg,imdbId,True
853096,http://www.imdb.com/title/tt853096,Death of a President (2006),6.4,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTE3MDE2MjYxMF5BMl5BanBnXkFtZTcwODYxODgzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",11419,cleaned/downloaded_posters/853096.jpg,imdbId,True
116040,http://www.imdb.com/title/tt116040,Daylight (1996),5.8,Action|Adventure|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGE5MDkxYzktODU4OS00Yjc4LTk5MjktYzlkY2RjMGVlNjU0XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg",784,cleaned/downloaded_posters/116040.jpg,imdbId,True
11130,http://www.imdb.com/title/tt11130,Dr. Jekyll and Mr. Hyde (1920),7.0,Drama|Horror|Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzE5YjQ0OTEtZWYxOS00OGEzLTlhYjMtMTNlOTllNGNiNDY1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",8329,cleaned/downloaded_posters/11130.jpg,imdbId,True
104550,http://www.imdb.com/title/tt104550,Jersey Girl (1992),6.1,Comedy|Drama|Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMTYxODQxMl5BMl5BanBnXkFtZTcwOTk3MTUyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",7298,cleaned/downloaded_posters/104550.jpg,imdbId,True
108071,http://www.imdb.com/title/tt108071,The Secret Garden (1993),7.3,Drama|Family|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BM2Y0NThmNDItYWY2Yi00YjYyLTgyNDYtODM5NjdlNWJjMDhhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",527,cleaned/downloaded_posters/108071.jpg,imdbId,True
1094594,http://www.imdb.com/title/tt1094594,Sigur RÌ_s: Heima (2007),8.6,Documentary|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NjI0ODY3NV5BMl5BanBnXkFtZTcwNDg5MDU1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",13114,cleaned/downloaded_posters/1094594.jpg,imdbId,True
66769,http://www.imdb.com/title/tt66769,The Andromeda Strain (1971),7.2,Sci-Fi|Thriller,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzY4NGZkOTMtNTRjNy00NWY4LWI2ZmUtODc3NWY3MTBhNzE2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",6198,cleaned/downloaded_posters/66769.jpg,imdbId,True
19344,http://www.imdb.com/title/tt19344,Sadie Thompson (1928),7.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTkyOTQ1NzU1Nl5BMl5BanBnXkFtZTgwODY1MTczMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",8356,cleaned/downloaded_posters/19344.jpg,imdbId,True
308671,http://www.imdb.com/title/tt308671,Tycoon: A New Russian (2002),6.8,Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NjQwMTQ2Ml5BMl5BanBnXkFtZTcwNDkyNTUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",6376,cleaned/downloaded_posters/308671.jpg,imdbId,True
383694,http://www.imdb.com/title/tt383694,Vera Drake (2004),7.7,Crime|Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk1ZmNhNjEtMDZjZi00MTY1LTgwMmYtZDRiNmI4ZDRiNzQ5XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",8259,cleaned/downloaded_posters/383694.jpg,imdbId,True
86366,http://www.imdb.com/title/tt86366,Still Smokin (1983),5.7,Comedy|Music,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMTE1MDQ3Nl5BMl5BanBnXkFtZTcwNTE3MDAyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",11960,cleaned/downloaded_posters/86366.jpg,imdbId,True
416236,http://www.imdb.com/title/tt416236,The Spiderwick Chronicles (2008),6.6,Adventure|Family|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMDcyMzM2Ml5BMl5BanBnXkFtZTYwNzg1Nzc4._V1_UX182_CR0,0,182,268_AL_.jpg",12470,cleaned/downloaded_posters/416236.jpg,imdbId,True
22397,http://www.imdb.com/title/tt22397,Skippy (1931),6.3,Family|Drama|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0Mzc1OTg4NF5BMl5BanBnXkFtZTcwMDM1MjQxMw@@._V1_UY268_CR3,0,182,268_AL_.jpg",17363,cleaned/downloaded_posters/22397.jpg,imdbId,True
82970,http://www.imdb.com/title/tt82970,Ragtime (1981),7.3,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDk0ZTQ3ODAtMjUwMi00YzQ2LTgyMDAtZWY4ZGIxNTRlYzIwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg",5742,cleaned/downloaded_posters/82970.jpg,imdbId,True
443274,http://www.imdb.com/title/tt443274,Vantage Point (2008),6.6,Crime|Drama|Mystery,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",12469,cleaned/downloaded_posters/443274.jpg,imdbId,True
